ID	PERGUNTA	LEVAR PARA PROVA	SYNC?	ALUNOS	INFO COMPLEMENTAR	INFO DETALHADA	ILUSTRAÇÃO HTML	EXEMPLO 1	EXEMPLO 2	EXEMPLO 3	TOPICO	SUBTOPICO	CONCEITO	BANCAS	ULTIMO ANO EM PROVA	CARREIRA	IMPORTANCIA	TAGS ADICIONAIS
001	Qual é a capital do Brasil?	Brasília	true		Brasília foi fundada em 1960	A capital federal do Brasil é Brasília	<img src="https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Bras%C3%ADlia_Congresso.jpg/320px-Bras%C3%ADlia_Congresso.jpg" width="250">	Plano Piloto	Distrito Federal	Congresso Nacional	Geografia	Capitais	Capital de país	FCC	2023	Concurso Público	Alta	brasil;capital;geografia
002	Quem foi o primeiro presidente do Brasil?	Deodoro da Fonseca	1		Deodoro da Fonseca foi o primeiro presidente	Governou de 1889 a 1891		República Velha	Proclamação da República	Marechal Deodoro	História	República	Primeiro governante	CESPE	2022	Concurso Público	Média	historia;presidentes;brasil
003	Qual é a fórmula da água?	H2O	false		H2O é a fórmula química da água	Composta por 2 átomos de hidrogênio e 1 de oxigênio	<img src="https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Water_molecule.svg/256px-Water_molecule.svg.png" width="150">	Molécula polar	Ligação covalente	Ponto de fusão 0°C	Química	Química Geral	Fórmula molecular	VUNESP	2021	Ensino Médio	Baixa	quimica;agua;formula
004	Qual é o maior planeta do sistema solar?	Júpiter	0		Júpiter é o maior planeta	Planeta gasoso com maior massa		Grande Mancha Vermelha	Luas galileanas	Cinturão de asteroides	Astronomia	Sistema Solar	Planeta maior	FGV	2023	Concurso Público	Alta	astronomia;planetas;jupiter
005	Qual é a velocidade da luz?	299.792.458 m/s	verdadeiro		299.792.458 m/s no vácuo	Velocidade máxima no universo		Teoria da relatividade	Einstein	Constante física	Física	Óptica	Constante física	CESPE	2022	Superior	Alta	fisica;luz;velocidade
006	Qual é a capital da França?	Paris	f		Paris é a capital da França	Cidade luz da Europa	<a href="https://www.paris.fr"><img src="https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/La_Tour_Eiffel_vue_de_la_Tour_Saint-Jacques%2C_Paris_ao%C3%BBt_2014_%282%29.jpg/240px-La_Tour_Eiffel_vue_de_la_Tour_Saint-Jacques%2C_Paris_ao%C3%BBt_2014_%282%29.jpg" width="200"></a>	Torre Eiffel	Museu do Louvre	Rio Sena	Geografia	Capitais Europeias	Capital de país	FCC	2020	Concurso Público	Média	geografia;europa;capital
007	Qual é o símbolo químico do ouro?	Au	SIM		Au vem do latim aurum	Metal precioso número atômico 79		Ourives	Joalheria	Reserva de valor	Química	Tabela Periódica	Símbolo químico	VUNESP	2023	Ensino Médio	Baixa	quimica;ouro;simbolo
008	Quantos continentes existem?	6 continentes			Tradicionalmente são 6 continentes	Ásia África América Europa Oceania Antártida		Pangeia	Deriva continental	Placas tectônicas	Geografia	Continentes	Quantidade de continentes	FGV	2021	Fundamental	Baixa	geografia;continentes;mundo
009	Qual é a capital do Brasil (teste com aluno)?	Brasília	SIM		Brasília é a capital federal do Brasil	A capital federal do Brasil é Brasília desde 1960		Plano Piloto	Distrito Federal	Congresso Nacional	Geografia	Capitais	Capital Federal	FCC	2023	Concurso Público	Alta	brasil;geografia
010	Qual é a capital da França (com aluno Belle)?	Paris	SIM	Belle	Paris é a capital da França	Cidade luz da Europa		Torre Eiffel	Museu do Louvre	Rio Sena	Geografia	Capitais	Capital Europa	Alta	frança;geografia
011	Qual é a capital da Itália (sem aluno)?	Roma	SIM		Roma é a capital da Itália	Cidade eterna, centro do antigo Império Romano		Coliseu	Vaticano	Fontana di Trevi	Geografia	Capitais	Capital Europa	Média	itália;geografia
012	Qual é a capital da Alemanha (alunos Belle e Igor)?	Berlim	SIM	Belle,Igor	Berlim é a capital da Alemanha	Capital reunificada após a queda do Muro de Berlim		Portão de Brandemburgo	Muro de Berlim	Reichstag	Geografia	Capitais	Capital Europa	Alta	alemanha;geografia
013	Quem descobriu o Brasil?	Pedro Álvares Cabral	true		Descobrimento em 22 de abril de 1500	Navegador português que chegou ao Brasil		Esquadra portuguesa	Porto Seguro	Tratado de Tordesilhas	História	Descobrimentos	Navegação	CESPE	2022	Concurso Público	Média	historia;brasil;descobrimento
014	Quanto é 2+2?	4	false		Matemática básica de adição	Soma de números inteiros		1+1=2	3+3=6	5+5=10	Matemática	Aritmética	Soma	FGV	2023	Ensino Médio	Baixa	matematica;aritmetica
015	Teste com erros de fórmula	#NAME?	true		Capital do país	Teste de tratamento de erros		Exemplo 1	#REF!	Exemplo 3	Geografia	Capitais	Teste de erro	FCC	2023	Concurso Público	Alta	geografia;teste
016	Teste de sincronização seletiva	Resposta teste	true		Teste sync seletivo	Informação complementar para testes		Exemplo 1	Exemplo 2	Exemplo 3	Teste	Sync	Seletivo	FCC	2023	Concurso Público	Média	teste;sync;seletivo
017	Teste case insensitive	Resposta case	TRUE		Teste case insensitive	Informação case para validação		Exemplo 1	Exemplo 2	Exemplo 3	Teste	Case	Insensitive	CESPE	2023	Ensino Médio	Baixa	teste;case;insensitive
018	Teste workflow completo	Resposta workflow	1		Teste workflow completo	Informação workflow para sistema		Exemplo 1	Exemplo 2	Exemplo 3	Teste	Workflow	Completo	VUNESP	2023	Superior	Alta	teste;workflow;completo
019	Teste compatibilidade	Resposta compatibilidade	yes		Teste compatibilidade	Informação compatibilidade do sistema		Exemplo 1	Exemplo 2	Exemplo 3	Teste	Compatibilidade	Sistema	FGV	2023	Fundamental	Baixa	teste;compatibilidade;sistema
020	Teste estrutura organizacional	Resposta estrutura	sim		Teste estrutura do código	Informação estrutura para organização		Exemplo 1	Exemplo 2	Exemplo 3	Teste	Estrutura	Organização	CESPE	2023	Concurso Público	Média	teste;estrutura;organizacao
